year,month,category_name_en,revenue_items_only,sold_items
2017,3,fashion_bags_accessories,4861.16,68
2017,3,air_conditioning,4103.81,17
2017,3,electronics,3986.0,37
2017,3,baby,3724.08,44
2017,3,furniture_living_room,3324.0,24
2017,3,food,2667.56,24
2017,3,books_general_interest,2648.96,25
2017,3,home_confort,2123.4,13
2017,3,dvds_blu_ray,1873.7,5
2017,3,market_place,1808.59,17
2017,3,musical_instruments,1667.33,10
2017,3,fixed_telephony,1592.35,21
2017,3,fashion_shoes,1515.0,14
2017,3,audio,1134.77,14
2017,3,construction_tools_construction,773.4,4
2017,3,home_construction,591.96,10
2017,3,fashion_male_clothing,580.8,9
2017,3,home_appliances_2,500.9,2
2017,3,tablets_printing_image,495.0,5
2017,3,drinks,463.87,5
2017,3,fashion_underwear_beach,394.14,6
2017,3,construction_tools_safety,380.0,2
2017,3,home_comfort_2,342.88,3
2017,3,home_appliances,313.3,10
2017,3,industry_commerce_and_business,238.0,2
2017,3,art,223.25,5
2017,3,kitchen_dining_laundry_garden_furniture,113.98,3
2017,3,food_drink,110.8,5
2017,3,agro_industry_and_commerce,81.99,2
2017,3,books_technical,75.0,2
2017,3,signaling_and_security,75.0,1
2017,3,fashion_sport,39.9,1
2017,3,music,27.99,1
2017,3,fashio_female_clothing,19.9,1
2017,4,sports_leisure,24864.33,218
2017,4,bed_bath_table,24347.69,274
2017,4,watches_gifts,23487.78,97
2017,4,small_appliances,23253.98,21
2017,4,health_beauty,22935.75,189
2017,4,cool_stuff,21822.08,121
2017,4,furniture_decor,21690.42,203
2017,4,garden_tools,20809.28,119
2017,4,computers_accessories,20691.06,136
2017,4,perfumery,19891.11,105
2017,4,auto,15548.17,88
2017,4,housewares,15028.84,183
2017,4,toys,13039.43,113
2017,4,office_furniture,9411.3,58
2017,4,unknown,8953.07,73
2017,4,telephony,7245.87,145
2017,4,luggage_accessories,7150.2,49
2017,4,pet_shop,6182.89,51
2017,4,electronics,4822.24,48
2017,4,stationery,4606.34,36
2017,4,market_place,4090.18,20
2017,4,baby,3980.45,51
2017,4,musical_instruments,3818.43,16
2017,4,consoles_games,3772.88,17
2017,4,fashion_bags_accessories,3219.8,50
2017,4,fixed_telephony,2998.33,11
2017,4,air_conditioning,2582.23,16
2017,4,home_confort,2411.1,17
2017,4,furniture_living_room,2073.34,12
2017,4,home_construction,1602.69,5
2017,4,fashion_shoes,1526.5,23
2017,4,costruction_tools_garden,1490.21,8
2017,4,dvds_blu_ray,1434.9,2
2017,4,tablets_printing_image,1112.88,11
2017,4,kitchen_dining_laundry_garden_furniture,1033.4,9
2017,4,audio,942.2,11
2017,4,books_general_interest,923.38,12
2017,4,furniture_bedroom,858.96,5
2017,4,home_appliances_2,799.8,2
2017,4,costruction_tools_tools,729.0,1
2017,4,home_appliances,499.4,10
2017,4,food,491.3,8
2017,4,fashion_male_clothing,416.69,7
2017,4,drinks,199.93,7
2017,4,fashion_sport,189.78,4
2017,4,signaling_and_security,128.06,3
2017,4,art,119.9,1
2017,4,cine_photo,118.0,2
2017,4,furniture_mattress_and_upholstery,109.4,1
2017,4,fashion_underwear_beach,98.79,4
2017,4,books_technical,75.0,1
2017,4,christmas_supplies,69.0,1
2017,4,fashio_female_clothing,64.9,1
2017,4,music,59.8,2
2017,4,food_drink,47.9,3
2017,4,la_cuisine,24.0,1
2017,4,books_imported,19.99,1
2017,4,home_comfort_2,12.9,1
2017,5,health_beauty,46786.02,290
2017,5,computers_accessories,45634.78,320
2017,5,watches_gifts,37973.9,135
2017,5,sports_leisure,36163.5,316
2017,5,cool_stuff,33696.47,247
2017,5,bed_bath_table,33346.45,369
2017,5,furniture_decor,24028.51,279
2017,5,toys,22626.95,200
2017,5,housewares,21726.48,307
2017,5,garden_tools,20693.46,141
2017,5,perfumery,20119.04,145
2017,5,auto,18640.03,125
2017,5,luggage_accessories,12539.62,70
2017,5,unknown,11091.93,97
2017,5,musical_instruments,10019.43,21
2017,5,baby,9849.51,108
2017,5,telephony,9264.1,224
2017,5,office_furniture,8403.43,56
2017,5,pet_shop,8151.02,73
2017,5,fashion_bags_accessories,7498.67,110
2017,5,art,6967.65,8
2017,5,electronics,6709.11,68
2017,5,stationery,6049.98,66
2017,5,home_confort,5293.87,37
2017,5,small_appliances,5241.44,18
2017,5,furniture_living_room,4929.43,34
2017,5,home_appliances_2,3093.04,9
2017,5,consoles_games,2507.2,29
2017,5,market_place,2476.98,22
2017,5,furniture_bedroom,2369.97,9
2017,5,audio,2081.18,17
2017,5,home_appliances,1912.79,28
2017,5,books_general_interest,1841.57,20
2017,5,fashion_shoes,1669.54,22
2017,5,home_construction,1620.5,7
2017,5,agro_industry_and_commerce,1579.94,4
2017,5,costruction_tools_garden,1577.24,8
