customer_region,customer_state,customer_city,revenue_items_only,orders_count
nordeste,CE,aratuba,343.9,2
sudeste,SP,indiana,343.89,3
norte,PA,dom eliseu,343.87,5
sudeste,SP,pongai,343.8,4
sudeste,SP,timburi,343.3,3
nordeste,PE,sertania,343.29,4
sudeste,MG,monte verde,343.1,3
sul,SC,ascurra,342.6,4
nordeste,PB,imaculada,340.89,3
sudeste,MG,cambuquira,340.76,5
nordeste,BA,iacu,340.7,4
sul,RS,santa clara do sul,339.99,2
nordeste,CE,pacuja,339.95,1
centro_oeste,GO,nova veneza,339.95,4
nordeste,CE,apuiares,339.89,2
sudeste,MG,itacarambi,339.79,3
centro_oeste,MT,nova lacerda,339.74,1
nordeste,RN,carnaubais,339.0,2
sudeste,MG,prudente de morais,338.99,3
sudeste,RJ,tocos,338.9,2
sudeste,MG,coroaci,338.9,2
sul,PR,mariluz,338.89,3
sul,PR,jundiai do sul,337.97,3
sudeste,MG,sao domingos do prata,337.89,4
sudeste,SP,nipoa,337.8,2
sudeste,SP,jumirim,337.6,3
sul,RS,arroio grande,336.77,3
sudeste,SP,tejupa,335.18,3
centro_oeste,GO,palmeiras de goias,334.8,3
sudeste,SP,macedonia,334.21,4
nordeste,CE,milagres,334.0,2
nordeste,BA,itabela,333.99,3
sudeste,SP,glicerio,333.99,2
nordeste,MA,dom pedro,333.77,3
nordeste,AL,satuba,333.73,2
norte,TO,xambioa,333.68,3
sul,PR,santa monica,332.88,2
sul,SC,guaruja do sul,331.44,4
nordeste,PE,cumaru,330.99,2
sul,PR,pien,330.4,4
sul,RS,constantina,330.0,1
nordeste,PB,belem,330.0,1
nordeste,CE,monsenhor tabosa,329.8,3
nordeste,BA,tanque novo,329.59,3
sudeste,SP,iacanga,329.39,6
sudeste,SP,jambeiro,329.26,4
nordeste,PI,uniao,329.0,1
sul,RS,hulha negra,329.0,1
sul,PR,santa terezinha de itaipu,328.94,3
centro_oeste,MT,arenapolis,328.85,2
sudeste,MG,sao goncalo do rio preto,328.19,3
norte,PA,nova ipixuna,328.0,1
sul,PR,ribeirao do pinhal,328.0,5
sudeste,MG,jesuania,327.98,5
sudeste,SP,bento de abreu,327.98,2
sudeste,SP,lavinia,326.8,4
nordeste,RN,pendencias,326.5,2
nordeste,RN,goianinha,325.3,3
sudeste,MG,vieiras,325.0,1
nordeste,BA,botupora,325.0,1
nordeste,BA,pedrao,325.0,1
nordeste,RN,montanhas,325.0,1
nordeste,CE,jucas,325.0,1
sudeste,MG,tabuleiro,324.89,2
sudeste,SP,arapei,324.89,2
centro_oeste,MT,campinapolis,324.86,3
nordeste,BA,barra do mendes,323.99,3
sul,RS,sobradinho,323.9,3
nordeste,AL,porto calvo,323.39,2
sudeste,SP,ipigua,323.14,3
sul,RS,sao jose do hortencio,322.89,2
centro_oeste,MT,peixoto de azevedo,322.8,3
nordeste,BA,cordeiros,322.75,1
sudeste,MG,campestre,321.7,3
centro_oeste,MS,rio negro,319.9,1
centro_oeste,MT,juruena,319.9,3
nordeste,MA,sucupira do norte,319.9,2
sul,PR,santa izabel do oeste,319.89,2
nordeste,AL,igaci,319.89,2
centro_oeste,GO,fazenda nova,319.79,4
sudeste,MG,carmo da cachoeira,319.44,4
sudeste,SP,palmeira d'oeste,319.18,5
norte,AP,laranjal do jari,318.8,2
sul,PR,joaquim tavora,317.98,3
sul,SC,ita,317.89,3
sudeste,MG,rio casca,317.43,5
sudeste,ES,sooretama,317.36,5
nordeste,BA,serra do ramalho,317.09,4
sudeste,MG,sabinopolis,317.08,5
sudeste,MG,dona euzebia,316.89,2
nordeste,PE,ribeirao,316.4,4
sudeste,MG,piranga,316.19,4
centro_oeste,GO,itapaci,315.8,4
sudeste,ES,iconha,315.74,5
nordeste,MA,bacuri,315.42,3
sul,SC,tunapolis,315.39,1
norte,TO,sitio novo do tocantins,314.9,2
nordeste,BA,monte gordo,314.9,2
nordeste,MA,coelho neto,314.9,3
sudeste,MG,belo vale,313.8,3
sudeste,MG,conceicao das pedras,313.59,4
nordeste,MA,olho d'agua das cunhas,312.99,2
sul,SC,rancho queimado,312.89,2
nordeste,BA,itatim,312.69,3
sul,PR,santa mariana,311.25,4
sudeste,SP,sao jose da bela vista,310.84,3
sudeste,MG,soledade de minas,309.94,5
nordeste,MA,sao pedro da agua branca,309.9,1
nordeste,AL,feliz deserto,309.89,2
sudeste,MG,sao tomas de aquino,309.8,3
nordeste,PE,tuparetama,309.8,3
sul,SC,monte carlo,309.5,3
sul,RS,sertao,309.49,3
nordeste,BA,vereda,309.4,2
nordeste,BA,pocoes,308.99,2
nordeste,BA,curaca,308.9,3
sul,SC,nova itaberaba,308.89,2
sul,PR,reserva,308.6,3
sudeste,MG,itanhomi,308.55,4
sudeste,MG,volta grande,308.38,4
sudeste,SP,ouro verde,307.97,3
sudeste,ES,conceicao da barra,306.87,3
centro_oeste,GO,mundo novo,306.0,2
sul,RS,sao martinho,305.99,1
sul,RS,imigrante,305.9,3
nordeste,PE,lagoa do ouro,305.9,2
nordeste,MA,estreito,305.89,3
sul,SC,saudades,305.84,4
sul,SC,urubici,305.69,3
sudeste,MG,maria da fe,305.55,3
nordeste,RN,ceara-mirim,305.46,2
sudeste,SP,inubia paulista,304.98,3
norte,PA,brasil novo,304.9,3
norte,PA,bonito,304.9,2
sul,SC,anchieta,302.7,3
centro_oeste,MT,claudia,302.68,4
sudeste,SP,oscar bressane,301.8,3
norte,PA,viseu,301.0,1
nordeste,MA,centro novo do maranhao,299.99,1
nordeste,PE,pocao,299.99,1
centro_oeste,MT,ribeiraozinho,299.98,2
nordeste,RN,almino afonso,299.9,1
sul,SC,sideropolis,299.7,4
sudeste,MG,florestal,299.5,3
nordeste,BA,ibicoara,299.2,3
sul,PR,porto rico,299.0,1
sudeste,MG,pains,298.33,3
sudeste,MG,senador cortes,298.0,1
centro_oeste,MT,sao jose do rio claro,298.0,2
sudeste,MG,coluna,297.88,3
sul,RS,pantano grande,297.79,3
sul,SC,tres barras,297.34,5
nordeste,PI,gilbues,296.0,1
nordeste,PE,camutanga,295.8,3
sul,PR,curiuva,295.7,4
nordeste,PB,bananeiras,295.24,5
sul,PR,colonia vitoria,294.91,5
nordeste,PE,oroco,294.9,3
nordeste,PE,ibimirim,294.79,3
sul,PR,angulo,294.7,3
sudeste,MG,carneirinho,294.5,3
sul,SC,irani,294.39,4
sudeste,MG,verissimo,294.12,3
sudeste,SP,barra do turvo,293.9,3
nordeste,BA,santa ines,293.9,3
sul,PR,tibagi,293.77,4
sul,RS,planalto,292.99,3
centro_oeste,MT,novo sao joaquim,292.6,3
sudeste,SP,cruzalia,292.4,3
centro_oeste,GO,americano do brasil,291.49,3
nordeste,PE,itapissuma,290.8,3
sul,SC,aguas frias,290.0,1
sudeste,SP,guariroba,289.99,2
sul,SC,agua doce,289.98,1
sul,PR,diamante d'oeste,289.9,1
sul,RS,vila flores,289.89,3
nordeste,CE,maranguape,289.87,3
sudeste,SP,iepe,289.58,5
nordeste,RN,sao jose do campestre,289.0,1
nordeste,MA,cajari,289.0,1
nordeste,SE,pirambu,289.0,1
sudeste,MG,laranjal,289.0,1
