customer_region,customer_state,customer_city,revenue_items_only,orders_count
sudeste,MG,imbe de minas,209.0,2
sul,PR,santo antonio do sudoeste,208.95,3
sul,SC,passos maia,208.9,2
sudeste,MG,leandro ferreira,208.9,2
sul,RS,manoel viana,208.79,3
sudeste,MG,cristais,208.7,3
sudeste,SP,santa ernestina,208.16,2
sul,PR,nova laranjeiras,208.1,1
nordeste,AL,igreja nova,208.0,2
nordeste,CE,milha,207.9,2
sudeste,SP,sao jose do barreiro,207.59,3
sudeste,SP,cabralia paulista,207.29,4
sudeste,MG,descoberto,206.98,3
nordeste,BA,riachao das neves,206.89,2
sudeste,SP,santo antonio da alegria,206.79,3
sudeste,MG,sao sebastiao do maranhao,206.79,3
sudeste,MG,frei lagonegro,206.74,1
nordeste,BA,nova vicosa,205.99,1
nordeste,MA,sao vicente ferrer,205.9,1
nordeste,BA,itapitanga,205.7,3
nordeste,PB,agua branca,204.99,2
nordeste,CE,catarina,204.98,3
centro_oeste,MT,carlinda,204.9,2
nordeste,PE,tacaratu,204.89,2
sul,SC,agronomica,204.87,2
sudeste,MG,prados,204.79,3
